Sr_No,Category,Date,Subject,Status
"15.4","ADMINISTRATION","24.09.2008","Testing of materials for highway works.","Pending"
"15.5","ADMINISTRATION","27.04.2010","Removal of refinery modified bitumen from technical specifications-reg.","Pending"
"15.6","ADMINISTRATION","04.08.2010","Use of Viscosity grade bitumen as per IS 73:2006 in Highway Projects and testing of modified bitumen.","Pending"
"15.7","ADMINISTRATION","10.08.2016","Testing of materials for highway works","Pending"
"15.8","ADMINISTRATION","15.01.2021","Quality Inspection of NH Projects where the projects were awarded to Abnormally Low Quoted Bids- reg","Pending"
"15.9","ADMINISTRATION","02.03.2021","Responsibility of PIU Officers in maintaining Quality of Construction.","Pending"
"16.1","ADMINISTRATION","21.07.2008","Guidelines on removing a contractor from the list of non-performing contractors","Pending"
"16.10","ADMINISTRATION","03.04.2019","Updating/maintaining on NHAI website the lists of (i) Debarred/blacklisted Concessionaires/Contractors; Consultants & Individuals; and (ii) Contracts terminated by NHAI for defaults of Concessionaires/ Contractors/Consultants.","Pending"
"16.11","ADMINISTRATION","16.11.2021","Standard operating procedure to debar/penalize/declare as Non-Performer the Contractor/Concessionaire in National Highways and other centrally sponsored road projects.","Pending"
"16.12","ADMINISTRATION","18.01.2022","“Standard Operating Procedure to debar/penalize/declare as Non-Performer the Authority’s Engineer/Independent Engineer/Construction Supervision Consultant/Project Management Consultant in National Highways and centrally sponsored road projects”.","Pending"
"16.13","ADMINISTRATION","25.01.2022","“Standard Operating Procedure to debar/penalize/declare as Non-Performer the Authority’s Engineer/Independent Engineer/Construction Supervision Consultant/Project Management Consultant in National Highways and centrally sponsored road projects.","Pending"
"16.14","ADMINISTRATION","31.01.2022","Standard operating procedure to debar/penalize/declare the Contractor/Concessionaire as Non-Performer in National Highways and other centrally sponsored road projects","Pending"
"16.15","ADMINISTRATION","02.03.2022","Formation of Management Committee for bi-annual performance review of Consultancy Contracts - reg.","Pending"
"16.16","ADMINISTRATION","11.11.2022","Clarification on Debarment process of the Bidder/ Contractor/ Concessionaire/ Firms for the procurement of projects/ Services by NHAI  - reg.","Pending"
"16.2","ADMINISTRATION","18.05.2011","Revised criteria for assessment of performance of contractors/concessionaire","Pending"
"16.3","ADMINISTRATION","29.08.2011","Submission of forged/fake CV by the consultants for NHAI works-reg.","Pending"
"16.4","ADMINISTRATION","04.07.2013","Assessment of performance of contractor/ concessionaire","Pending"
"16.5","ADMINISTRATION","19.12.2013","Deterrent action against defaulting consultants-Standing Committee of CGMs reg","Pending"
"16.6","ADMINISTRATION","31.12.2015","Revised criteria for Assessment of Performance of Promoter/Consortium Member of Concessionaire.","Pending"
"16.7","ADMINISTRATION","02.01.2017","NHAI to review the progress of the Project \""Two laning with paved shoulders of Nagapattinam Thanjavur Section of NH-7 in the state of Tamil Nadu\""","Pending"
"16.8","ADMINISTRATION","22.12.2017","Updating/maintaining on NHAI website the lists of (i) Debarred/Blacklisted Concessionaires/Contractors; Consultants & Individuals; and (ii) Contracts terminated by NHAI for defaults of Concessionaires/ Contractors/Consultants.","Pending"
"16.9","ADMINISTRATION","15.01.2018","Consultancy Services for Feasibility Study and Preparation of Detailed Project Report for 4 laning of  Thirumangalam to Rajapalayam Section of NH-744 in the State of Tamil Nadu under NHDP Phase-IV ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Participation of M/s ARTEFACT Projects Ltd in DPR Consultancy Bids - reg.","Pending"
"17.1.1","ADMINISTRATION","09.10.2002","Engagement of fee (toll) collecting agency for collection of fee (toll) on the bridges","Pending"
"17.1.10","ADMINISTRATION","11.07.2005","DGR sponsorship of ex-servicemen for toll plazas of NHAI","Pending"
"17.1.11","ADMINISTRATION","27.07.2005","Standard format of contract to be entered into with DGR sponsored ex-servicemen for department collection of user fee","Pending"
"17.1.12","ADMINISTRATION","17.03.2006","DGR sponsored Ex-servicemen for collection of user fee","Pending"
"17.1.13","ADMINISTRATION","25.07.2006","DGR instructions for Toll Plaza Agency","Pending"
"17.1.14","ADMINISTRATION","15.06.2007","Procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR)","Pending"
"17.1.15","ADMINISTRATION","01.05.2008","Procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR)","Pending"
"17.1.16","ADMINISTRATION","23.05.2008","Procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR)","Pending"
"17.1.17","ADMINISTRATION","26.05.2008","Composition of the committee for procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR)","Pending"
"17.1.18","ADMINISTRATION","27.08.2008","Procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR)","Pending"
"17.1.19","ADMINISTRATION","24.10.2008","Payment of dues in r/o wages and re-imbursement claims to the collection agency","Pending"
"17.1.2","ADMINISTRATION","22.10.2002","Advance planning for levy of fees (toll)","Pending"
"17.1.20","ADMINISTRATION","23.09.2009","Procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR)","Pending"
"17.1.21","ADMINISTRATION","14.10.2009","Procurement of user fee collection agency","Pending"
"17.1.22","ADMINISTRATION","24.05.2010","Procurement of user fee collection agency through DGR system","Pending"
"17.1.3","ADMINISTRATION","08.11.2002","Engagement of fee (toll) collecting agency for collection of fee","Pending"
"17.1.4","ADMINISTRATION","15.11.2002","Method of selection and selection criteria out of ex-servicemen sponsored by DGR for departmental fee collection","Pending"
"17.1.5","ADMINISTRATION","06.01.2003","Engagement of fee (toll) collecting agency for collection of fee","Pending"
"17.1.6","ADMINISTRATION","20.02.2003","Procurement of ex-servicemen for fee collection from the office of Directorate General of Resettlement (DGR)","Pending"
"17.1.7","ADMINISTRATION","01.07.2003","Engagement of DGR sponsored ex-servicemen for fee collection","Pending"
"17.1.8","ADMINISTRATION","13.10.2004","Standard format of contract to be entered into with DGR sponsored ex-servicemen for departmental collection of user fee","Pending"
"17.1.9","ADMINISTRATION","06.01.2005","Fee collection through DGR sponsored Ex-servicemen","Pending"
"17.2.1","ADMINISTRATION","17.10.2005","Revision of minimum wages payable to ex-servicemen/ex-servicemen agencies sponsored by Directorate General Resettlement (DGR)","Pending"
"17.2.10","ADMINISTRATION","11.02.2009","Revision in wage structure payable to ex-servicemen","Pending"
"17.2.11","ADMINISTRATION","08.06.2010","Revision in wage structure payable to ex-servicemen","Pending"
"17.2.2","ADMINISTRATION","05.06.2006","Revised wages payable to ex-servicemen/ex-servicemen agencies sponsored by Dte. General of Resettlement","Pending"
"17.2.3","ADMINISTRATION","28.08.2006","Sponsorship of ex-servicemen for fee collection","Pending"
"17.2.4","ADMINISTRATION","17.11.2006","Revised wage structure payable to ex-servicemen/ex-servicement agencies sponsored by DGR","Pending"
"17.2.5","ADMINISTRATION","30.04.2007","Revision in wage structure payable to ex-servicemen","Pending"
"17.2.6","ADMINISTRATION","19.10.2007","Revision in wage structure payable to ex-servicemen","Pending"
"17.2.7","ADMINISTRATION","17.04.2008","Revision in wage structure payable to ex-servicemen","Pending"
"17.2.8","ADMINISTRATION","22.05.2008","Revision in wage structure payable to ex-servicemen","Pending"
"17.2.9","ADMINISTRATION","19.03.2009","Revision in wage structure payable to ex-servicemen","Pending"
"17.3.1","ADMINISTRATION","22.07.2003","Advance planning for levy of fees (toll) on section / newly constructed bridges / bypasses under public funded projects : revision of index rate of fee","Pending"
"17.3.2","ADMINISTRATION","21.06.2004","Advance planning for levy of fees (toll) on sections / newly constructed bridges / bypasses under public funded projects: revision of index rate of fee","Pending"
"17.3.3","ADMINISTRATION","17.06.2005","Advance planning for levy fees (Toll) on sections/newly constructed bridges/bypasses under Public Funded projects : Revision of Index Rate of Fee","Pending"
"17.3.4","ADMINISTRATION","22.06.2006","Advance Planning for Levy of Fee (Toll) on Sections/newly constructed bridges/bypasses under Public Funded Projects : Revision of Index Rate of Fee","Pending"
"17.3.5","ADMINISTRATION","14.06.2007","Advance planning for levy of fee (toll) on sections/newly constructed bridges/bypasses under public funded projects : revision of index rate of fee","Pending"
"17.3.6","ADMINISTRATION","29.07.2008","Advance planning for Levy of Fees (Toll) on Sections under Public Funded Projects : Revision of Index Rate of Fee","Pending"
"17.3.7","ADMINISTRATION","29.03.2013","Revision of user Fee Rates w.e.f. 01.04.2013 under Public Funded/ Annuity Projects.","Pending"
"17.4.1","ADMINISTRATION","02.06.2003","Responsibility regarding deposit/receipt and collection of fee (toll) under system of departmental collection or through franchisee","Pending"
"17.4.10","ADMINISTRATION","22.12.2009","Procurement of fee collecting agencies through open competitive bidding system","Pending"
"17.4.11","ADMINISTRATION","19.02.2010","Procurement of fee collecting agencies through open competitive bidding system","Pending"
"17.4.12","ADMINISTRATION","24.05.2010","Guidelines for procurement of collection agencies through Competitive Bidding System","Pending"
"17.4.13","ADMINISTRATION","22.06.2010","Guidelines for procurement of fee collection agencies through Competitive Bidding System","Pending"
"17.4.14","ADMINISTRATION","23.07.2010","Guidelines for procurement of fee collection agencies through competitive bidding system - amendment of clause 3 (vii) of circular no. 122","Pending"
"17.4.15","ADMINISTRATION","19.04.2011","Departmental collection of User Fee by the PDs","Pending"
"17.4.16","ADMINISTRATION","21.11.2005","Constitution of a Standing Committee for matters relating to collection of user fee (Toll) through private contractors.","Pending"
"17.4.17","ADMINISTRATION","20.03.2015","Toll collection contract of NHAI- Clause 19 on penal interest for delayed payments by the contractors - Method of penal interest calculation.","Pending"
"17.4.2","ADMINISTRATION","20.10.2004","Collection of user fee through private contractor on the basis of competitive bidding","Pending"
"17.4.3","ADMINISTRATION","08.04.2005","Experience for collection of user fee through Private Contractors","Pending"
"17.4.4","ADMINISTRATION","01.10.2005","Method of collection of user fee and maintenance etc. :Public Funded Projects and Annuity based BOT Project.","Pending"
"17.4.5","ADMINISTRATION","31.03.2006","Legal opinion on the matter of stamp duty","Pending"
"17.4.6","ADMINISTRATION","13.04.2006","Collection of user fee through private contractor","Pending"
"17.4.7","ADMINISTRATION","21.10.2009","Guidelines for procurement of collection agencies through Competitive Bidding System","Pending"
"17.4.8","ADMINISTRATION","03.11.2009","Procurement of fee collecting agencies through Open Competitive Bidding System","Pending"
"17.4.9","ADMINISTRATION","26.11.2009","Procurement of fee collecting agencies through open competitive bidding system","Pending"
"17.5.1","ADMINISTRATION","30.09.2002","System of local consultation by forming District Consultative Committee","Pending"
"17.5.10","ADMINISTRATION","16.09.2003","Guidelines for display of fee related information for road users","Pending"
"17.5.11","ADMINISTRATION","30.09.2003","Levy of fee (Toll) : Time Gap between legal right and actual commencement : Public funded projects","Pending"
"17.5.12","ADMINISTRATION","22.10.2003","Acquisition of land for construction of toll plaza","Pending"
"17.5.13","ADMINISTRATION","11.11.2003","Recording of movement of all types of vehicles","Pending"
"17.5.14","ADMINISTRATION","06.01.2004","Standardization of Display of User fee Related Hoardings","Pending"
"17.5.15","ADMINISTRATION","16.08.2004","Immediate installation of booth and computer in exempted lanes","Pending"
"17.5.16","ADMINISTRATION","09.11.2004","Printing of receipts for collection of user fee","Pending"
"17.5.17","ADMINISTRATION","19.10.2004","Improving Administration of user fee collection at PIU/CMU Level","Pending"
"17.5.18","ADMINISTRATION","24/1/2005","Implementation of the NHAIs new on-line web based toll fee collection software on the toll plazas.","Pending"
"17.5.19","ADMINISTRATION","27.01.2005","Prohibition on Commercial activities by others in the plaza area","Pending"
"17.5.2","ADMINISTRATION","25.03.2003","Guidelines on computerization of Toll Plaza: Essential circulars and intimation by the Project Directors 120 days in advance.","Pending"
"17.5.20","ADMINISTRATION","14.02.2005","Uniformity of Operation- Number of shifts and their timings","Pending"
"17.5.21","ADMINISTRATION","03.03.2005","Construction of toll plazas & provisions of computers for fee collection.","Pending"
"17.5.22","ADMINISTRATION","18.03.2005","Collection of tax from franchisee for leasing of toll plazas as per provision of Section 206-C(IC) of Income Tax Act","Pending"
"17.5.23","ADMINISTRATION","07.11.2005","Visit to nearby Toll Plazas by PDs/Staff","Pending"
"17.5.24","ADMINISTRATION","08.09.2005","Engagement of round the clock supervisors at the toll plazas","Pending"
"17.5.25","ADMINISTRATION","09.02.2005","Revised Procedure and evaluation criteria for engagement of Local Fee Auditor for each of fee plaza","Pending"
"17.5.26","ADMINISTRATION","21.11.2006","Constitution of a Standing Committee for matters relating to collection of user fee (Toll) through private contractors.","Pending"
"17.5.27","ADMINISTRATION","04.01.2006","Engagement of round the clock supervisors at the toll plazas","Pending"
"17.5.28","ADMINISTRATION","19.04.2006","Ticketing system at Plazas for providing receipt to road users","Pending"
"17.5.29","ADMINISTRATION","15.05.2006","Ticketing system at Plazas for providing receipt to road users","Pending"
"17.5.3","ADMINISTRATION","16.04.2003","Construction of toll plazas;wayside amenities and truck parking complexes through the Civil Contractors engaged for 4-laning of National Highways.","Pending"
"17.5.30","ADMINISTRATION","31.01.2007","Collection of user fee","Pending"
"17.5.31","ADMINISTRATION","15.02.2007","Handling of complaints and suggestions relating to levy of fee (toll) matters","Pending"
"17.5.32","ADMINISTRATION","05.01.2007","Appeal to toll collecting agencies to engage Physically Challenged Person","Pending"
"17.5.33","ADMINISTRATION","06.03.2007","Engagement of round the clock supervisors at the toll plazas","Pending"
"17.5.34","ADMINISTRATION","07.09.2007","Debarment of Security agency","Pending"
"17.5.35","ADMINISTRATION","07.09.2007","Black listing of DGR sponsored Ex-servicemen","Pending"
"17.5.36","ADMINISTRATION","18.12.2007","Ticketing system at Plazas for providing receipt to road users","Pending"
"17.5.37","ADMINISTRATION","12.02.2007","Transfer of toll funds to NHAI HQ through TT/RTGS only.","Pending"
"17.5.38","ADMINISTRATION","15.07.2008","Procurement of equipments pertaining to computerization of toll plaza","Pending"
"17.5.39","ADMINISTRATION","12.08.2008","Recording of vehicle no. at the time of toll collection","Pending"
"17.5.4","ADMINISTRATION","28.05.2003","Placement of the amount of toll collection in term deposits;Expenditure on toll collection and Audit of Toll operations.","Pending"
"17.5.40","ADMINISTRATION","31.03.2009","Constitution of sub-committee for monitoring;reviewing and overseeing the functioning of toll system","Pending"
"17.5.41","ADMINISTRATION","29.04.2009","Compliance of statutory obligation by collection agency","Pending"
"17.5.42","ADMINISTRATION","27.05.2009","Augmentation of User Fee Collection-CHECK LIST","Pending"
"17.5.43","ADMINISTRATION","20.11.2009","Augmentation of user fee collection at various Toll Plazas on Public Funded Projects - Supervision of Regional Officers","Pending"
"17.5.44","ADMINISTRATION","17.03.2010","Decline in revenue collection at Toll Plazas","Pending"
"17.5.45","ADMINISTRATION","05.04.2010","Issuance of duplicate tickets and tampering with server at toll plazas","Pending"
"17.5.46","ADMINISTRATION","13.08.2010","Traffic survey","Pending"
"17.5.47","ADMINISTRATION","09.11.2010","Implementation of Unified Electronic Toll Collection (ETC) technology for National Highwyas","Pending"
"17.5.48","ADMINISTRATION","23.09.2010","Operation of Toll Plaza","Pending"
"17.5.49","ADMINISTRATION","31.03.2011","Implementation of Standard Operating Procedure for Management of Fee Plaza under Public Funded and BOT (Annuity)","Pending"
"17.5.5","ADMINISTRATION","24.06.2003","Typical design of toll plazas","Pending"
"17.5.50","ADMINISTRATION","06.09.2011","Departmental collection of User Fee by the PDs","Pending"
"17.5.51","ADMINISTRATION","08.02.2011","Display boards of rates at the fee plazas","Pending"
"17.5.52","ADMINISTRATION","27.10.2010","Construction of Temporary toll plazas for collection of user fee across National Highways","Pending"
"17.5.53","ADMINISTRATION","03.08.2012","Delegation of Powers relating to calling of bids for tolling contracts and other issues relating to commercial operations.","Pending"
"17.5.54","ADMINISTRATION","25.04.2012","Revised procedure for remittance of toll revenue;shared revenue;negative grant;premium etc. to Consolidated Fund of Indai (CFI) within three days of its collection.","Pending"
"17.5.55","ADMINISTRATION","13.12.2012","Delegation of Powers relating to various issues under Commercial operation","Pending"
"17.5.56","ADMINISTRATION","01.04.2013","Compliance of the provisions stipulated in 2008 Fee Rules regarding spacing and location of Toll Plazas in DBFOT projects","Pending"
"17.5.57","ADMINISTRATION","01.03.2013","Timelines for submission of Draft Fee Notifications of DBFOT (Toll) & OTM projects.","Pending"
"17.5.58","ADMINISTRATION","29.03.2013","Revision of user Fee Rates w.e.f. 01.04.2013 under Public Funded/ Annuity Projects.","Pending"
"17.5.59","ADMINISTRATION","27.05.2013","Behaviour of toll staff engaged by the toll agencies/contractors","Pending"
"17.5.6","ADMINISTRATION","11.07.2003","Public notice before commencement of fee collection","Pending"
"17.5.60","ADMINISTRATION","10.06.2013","Delegation of powers to approve award of bids for collection of user fee","Pending"
"17.5.61","ADMINISTRATION","21.10.2013","Rename of Electronic Division as Highway Automation and Management (HAM) Division","Pending"
"17.5.62","ADMINISTRATION","05.05.2014","Prevention of Overloading-Amendment to Fee Rules dated 16.12.2013","Pending"
"17.5.63","ADMINISTRATION","05.06.2014","Remittances of toll revenue;auction toll shared revenue;negative grant and interest accrued thereon in the Consolidated Fund of India;Credit/Debit Advice.","Pending"
"17.5.64","ADMINISTRATION","17.06.2014","RTI Act;2005- Clarification regarding National Highways Fee (Determination of Rates and collection) Rules;2008.","Pending"
"17.5.65","ADMINISTRATION","09.10.2014","Delegation of Powers relating to various issues under Commercial operation","Pending"
"17.5.66","ADMINISTRATION","11.09.2014","Implementation fo ETC on Pan India basis; installation of Weigh-in-Motion (WIM)/ Static Weigh Bridge (SWB);AVCC and CCTV at all Toll Plazas (NHAI & Concessionaires)- Delegation of Powers to ROs.","Pending"
"17.5.67","ADMINISTRATION","14.11.2014","Expediting construction of Toll Plazas for early tolling of completed lengths in public funded/ annuity/ EPC projects","Pending"
"17.5.68","ADMINISTRATION","12.03.2014","Guidelines/ clarification regarding issue of Form V in the matter of work awarded to a contractor/ outsourced agencies for Collection of User Fee through competitive bidding.","Pending"
"17.5.69","ADMINISTRATION","20.03.2015","Toll collection contract of NHAI- Clause 19 on penal interest for delayed payments by the contractors - Method of penal interest calculation.","Pending"
"17.5.7","ADMINISTRATION","29.05.2003","Public notice relating to fee collection","Pending"
"17.5.70","ADMINISTRATION","26.03.2015","Implementation of ETC on Pan India basis; installation of Weigh-in- Motion (WIM)/ Static Weigh Bridge (SWB)< AVCC and CCTV at all toll plazas (NHAI & Concessionaires)- Delegation of Powers to ROs.","Pending"
"17.5.71","ADMINISTRATION","15.04.2015","Reaches entrusted to NHAI by MoRTH - Traffic Surveys using portable ATCC systems by the agencies of IHMCL- Amendment to the Policy Circular dated 11.3.2015","Pending"
"17.5.72","ADMINISTRATION","21.08.2015","Standard public notifices for publication of user fee rates in the Newspapers by the Concessionaire/ NHAI.","Pending"
"17.5.73","ADMINISTRATION","11.03.2015","Reaches entrusted to NHAI by MoRTH - Traffic Surveys using portable ATCC systems by the agencies of IHMCL.","Pending"
"17.5.74","ADMINISTRATION","31.12.2015","Prevention of overloading at Toll Plazas on NH Sections- Amendment to Fee Rules dated 16.12.2013 of MoRTH (G.S.R.778 (E)] and Policy Circular dated 05.05.2014 of NHAI (TECH-154/2014)- Strict implmenetation of removal of excess load to permit the vehicle for further use of NH OR crossing Toll Plaza besides charging penalty (10 times applicable fee).","Pending"
"17.5.75","ADMINISTRATION","02.02.2016","Standardization of uniform of toll collection staff; user fee receipts; user fee display boards at toll booths at both NHAI and Concessionaires Toll Plazas","Pending"
"17.5.76","ADMINISTRATION","03.03.2017","Constitution of the 3 CGMs Committee for negotiation and One Time Amicable Settlement of disputes/ claims pertaining to toll collection of various Public Funded Toll Plazas.","Pending"
"17.5.77","ADMINISTRATION","15.09.2017","Location of Toll Plazas on National Highways - reg.","Pending"
"17.5.78","ADMINISTRATION","16.02.2018","Implementation of Hybrid ETC System (HES) in all lanes of Toll / User Fee Plazas along the National Highways-Standard Operating Procedure for management of monthly passes through FASTag-reg.","Pending"
"17.5.79","ADMINISTRATION","28.05.2020","Atmanirbhar Bharat: Relief for contractors /developers of road sector - directions for implementation of relief to User Fee Collection Contractors on Public Funded Projects.","Pending"
"17.5.8","ADMINISTRATION","30.07.2003","Courteous dealing by personnel engaged for fee collection","Pending"
"17.5.80","ADMINISTRATION","06.04.2021","Atmanirbhar Bharat: Relief for Contractors/developers of Road Sector-Direction for implementation of relief to User Fee Collection Contractors on Public Funded Projects- Relief in interest rate for payment of remittance.","Pending"
"17.5.81","ADMINISTRATION","30.04.2021","Relief of FMC benefits to user fee agencies which were at default to the contractual obligation as on 19.02.2020 due to non-deposition of due  remittance","Pending"
"17.5.82","ADMINISTRATION","24.05.2021","Amendments in the provisions of Toll Plaza consequent upon implementation of Electronic Toll Collection (ETC)/ FASTag on all lanes.","Pending"
"17.5.83","ADMINISTRATION","17.01.2022","Implementation of ETC system and O&M services at NH fee plazas through System Integrators empanelled with IHMCL – Reg.","Pending"
"17.5.84","ADMINISTRATION","22.11.2022","Standard Operating Procedure for Monitoring of payment of remittance made by User Fee Collection Agencies - reg.","Pending"
"17.5.85","ADMINISTRATION","31.07.2023","Standard Operating Procedure for Go-Live of Public Toll Plazas- reg.","Pending"
"17.5.86","ADMINISTRATION","05.10.2023","टोल प्लाजा पर हिंसा/प्रत्याशित हिंसा के दौरान मानक संचालन प्रक्रिया के संबंध में।","Pending"
"17.5.87","ADMINISTRATION","25.01.2024","Standard Operating Procedure for ensuring Operational Transparency in Tolling Operation especially with respect to cash and overload fee collection. – reg.","Pending"
"17.5.88","ADMINISTRATION","10.05.2024","Implementation of ETC system and O&M Services at NH Fee Plazas through System Integrators empanelled with IHMCL -reg.","Pending"
"17.5.89","ADMINISTRATION","19.08.2024","Amendments in the provisions of Toll Plaza consequent upon implementation of Electronic Toll Collection (ETC)/ FASTag on all lanes","Pending"
"17.5.9","ADMINISTRATION","26.08.2003","Revised format of receipt for collection of fee from road users","Pending"
"17.5.90","ADMINISTRATION","03.01.2025","Relief to User Fee Collection Agencies in Case of Suspension of Fee Collection due to Farmers' Agitation in the State of Punjab and Haryana- reg.","Pending"
"17.5.91","ADMINISTRATION","26.03.2025","Policy Guidelines for the User Fee Plazas closed or likely to be closed for more than 30 days due to Farmers’ Agitation or any Other Similar Reasons -reg.","Pending"
"17.6.1","ADMINISTRATION","08.11.2002","Delegation of authority for recurring expenditure on management of toll plaza for collection of fee","Pending"
"17.6.10","ADMINISTRATION","24.06.2024","Delegation Powers to Regional Officers for deciding the claim arising out of overstay of User Fee Collection Agency (UFCA) beyond Contractual extension period and for claim beyond the contractual period allowed after the premature termination request invoked by User Fee Collection Agencies - reg.","Pending"
"17.6.10","ADMINISTRATION","24.06.2024","Delegation Powers to Regional Officers for deciding the claim arising out of overstay of User Fee Collection Agency (UFCA) beyond Contractual extension period and for claim beyond the contractual period allowed after the premature termination request invoked by User Fee Collection Agencies","Pending"
"17.6.11","ADMINISTRATION","26.03.2025","Revised Policy for deciding the Claims arising out due to “Overstay” of User Fee Collection Agency (UFCA) beyond Contractual Extension Period and also for Claim for Overstay beyond the Contractual Period allowed after the “Pre-mature Termination” request invoked by User Fee Collection Agencies-reg.","Pending"
"17.6.2","ADMINISTRATION","15.07.2008","Procurement of equipments pertaining to computerization of toll plaza","Pending"
"17.6.3","ADMINISTRATION","27.10.2011","Construction of Temporary toll plazas for collection of user fee across National Highways","Pending"
"17.6.4","ADMINISTRATION","03.08.2012","Delegation of Powers relating to calling of bids for tolling contracts and other issues relating to commercial operations.","Pending"
"17.6.5","ADMINISTRATION","13.12.2012","Delegation of Powers relating to various issues under Commercial operation","Pending"
"17.6.6","ADMINISTRATION","10.06.2013","Delegation of powers to approve award of bids for collection of user fee","Pending"
"17.6.7","ADMINISTRATION","09.10.2014","Delegation of Powers relating to various issues under Commercial operation","Pending"
"17.6.8","ADMINISTRATION","14.11.2014","Expediting construction of Toll Plazas for early tolling of completed lengths in public funded/ annuity/ EPC projects","Pending"
"17.6.9","ADMINISTRATION","13.03.2018","Delegation of Powers relating to various issues under Commercial Operation.","Pending"
"17.7.1","ADMINISTRATION","16.09.2002","Advance planning for levy of fees (toll)","Pending"
"17.7.2","ADMINISTRATION","06.04.2005","Consideration of completed length in partially completed packages for tolling","Pending"
"17.7.3","ADMINISTRATION","02.06.2005","Procedure for fee notification in respect of Private Investment (BOT/SPV) Projects","Pending"
"17.7.4","ADMINISTRATION","29.09.2009","Advance planning for levy and collection of user fee in the light of the provisions of New Fee Rules;2008","Pending"
"17.7.5","ADMINISTRATION","03.11.2010","Status of Completion of Civil Packages above 90%","Pending"
"17.7.6","ADMINISTRATION","22.06.2011","Fee Notifications for PPP Projects","Pending"
"17.7.7","ADMINISTRATION","01.03.2013","Timelines for submission of Draft Fee Notifications of DBFOT (Toll) & OTM projects.","Pending"
"17.7.8","ADMINISTRATION","01.04.2013","Compliance of the provisions stipulated in 2008 Fee Rules regarding spacing and location of Toll Plazas in DBFOT projects","Pending"
"17.8.1","ADMINISTRATION","27.08.2002","Monthly Toll Collection and Deposit Report- Borth for Departmental Collection and Collection through Franchisee.","Pending"
"17.8.2","ADMINISTRATION","21.04.2003","Advance planning for levy of fees (toll) on sections / newly constructed bridges / bypasses under Public Funded projects","Pending"
"17.8.3","ADMINISTRATION","24/1/2005","Implementation of the NHAI\s new on-line web based toll fee collection software on the toll plazas.","Pending"
"17.8.4","ADMINISTRATION","14.09.2011","Development of Web based application for generating daily/weekly/monthly reports on Toll collection","Pending"
"17.8.5","ADMINISTRATION","09.07.2024","Deployment of Officers of IHMCL at NHAI Regional Offices.-reg.","Pending"
"17.9.1","ADMINISTRATION","07.04.2003","Exemption of completed sections from levy of fee","Pending"
"17.9.10","ADMINISTRATION","17.03.2011","Exemption from payment of user fee","Pending"
"17.9.11","ADMINISTRATION","17.06.2014","RTI Act;2005- Clarification regarding National Highways Fee (Determination of Rates and collection) Rules;2008.","Pending"
"17.9.2","ADMINISTRATION","30.04.2003","Exemption for levy of fee to Defence Personnel / Defence vehicles","Pending"
"17.9.3","ADMINISTRATION","26.05.2003","Regarding Validity period of Multiple Journey Ticket","Pending"
"17.9.4","ADMINISTRATION","10.11.2004","Representation for exemption from levy of user fee","Pending"
"17.9.5","ADMINISTRATION","29.03.2005","Concessions in user fee to local residents : Public funded projects","Pending"
"17.9.6","ADMINISTRATION","05.07.2005","Concessions in user fee to local residents : Public funded projects","Pending"
"17.9.7","ADMINISTRATION","29.11.2005","Exemption from levy of user fee for the vehicles hired by the State Government/Central Government","Pending"
"17.9.8","ADMINISTRATION","05.12.2005","Exemption for levy of user fee to Dignitaries","Pending"
"17.9.9","ADMINISTRATION","04.12.2006","Exemption to Defence Personnel under Indian Tolls (Army & Air Force) Act;1901","Pending"
"18.10","ADMINISTRATION","13.06.2013","Note for Discussions on various issues.","Pending"
"18.100","ADMINISTRATION","07.01.2025","Delegation of Power for approval of Project Proposal of De-scoped Works on EPC Mode under Bharatmala Pariyojana -reg.","Pending"
"18.101","ADMINISTRATION","11.03.2025","Rectification of Pavement Distresses Observed during NSV Testing and Submission of Action Taken Report through Priority Maintenance Module of Datalake Portal; NHAl -reg.","Pending"
"18.102","ADMINISTRATION","04.04.2025","Development of Wayside Amenities along National Highways and Expressways Descoping of Construction of Wayside Amenities from Scope of Road Contractor and adherence to approved Layout Plans - reg.","Pending"
"18.103","ADMINISTRATION","05.04.2025","Modifications in Standard Operating Procedure (SOP) for taking over the Project Highways completed under BOT/ HAM/ OMT/ TOT/ EPC Mode upon completion of Concession Period/ DLPs - reg.","Pending"
"18.104","ADMINISTRATION","25.06.2025","Standard Operating Procedure (SOP) for Organizing Hackathon by NHAl Innovation Task Force -reg.","Pending"
"18.105","ADMINISTRATION","09.07.2025","Inclusion of Provisions regarding acceptance of Insurance Surety Bonds (ISB) as Performance Security in Consultancy Contracts of Authority Engineer/Independent Engineer -reg.","Pending"
"18.11","ADMINISTRATION","12.06.2013","PPP and EPC Projects\`s Stakeholder\`s Grievance Redressal Committees","Pending"
"18.12","ADMINISTRATION","11.06.2013","Standard RFP Document for appointment of Authority\`s Engineer for EPC projects.","Pending"
